state,year,total_households,median_income_household,median_income_family,median_income_married,median_income_nonfamily,mean_income_household,mean_income_family,mean_income_married,mean_income_nonfamily
OHIO,2015,4585084,49429,62817,76253,29023,66409,79891,94175,39978
OKLAHOMA,2015,1455321,46879,58029,69279,27275,63890,75271,87596,38757
OREGON,2015,1533430,51243,62964,73762,31848,69040,80948,92465,45100
PENNSYLVANIA,2015,4958859,53599,68158,81033,30477,73175,87959,101982,43554
RHODE ISLAND,2015,410602,56852,74045,90934,32868,77111,92689,110574,47699
SOUTH CAROLINA,2015,1815094,45483,56343,70444,26824,61987,72700,87020,38294
SOUTH DAKOTA,2015,330858,50957,65237,75459,30316,66404,80037,91427,39198
TENNESSEE,2015,2504556,45219,56110,68054,26875,63339,74677,87730,38755
TEXAS,2015,9149196,53207,62717,77641,33473,75264,85545,101068,48417
UTAH,2015,906292,60727,68817,76089,34687,76531,85159,93244,46581
VERMONT,2015,257167,55176,70027,80510,32828,71392,86245,97375,44235
VIRGINIA,2015,3062783,65015,78390,93384,40158,88955,102966,118926,57024
WASHINGTON,2015,2668912,61062,74025,85828,37909,80789,94338,107196,52535
WEST VIRGINIA,2015,740890,41751,52866,62297,23027,56425,67421,76848,34022
WISCONSIN,2015,2299107,53357,68064,78756,31395,69333,83469,95129,41852
WYOMING,2015,226865,58840,73194,82177,34317,73477,85229,94761,48722
ALABAMA,2016,1851061,44758,56828,70945,25046,62061,74189,88616,36128
ALASKA,2016,250235,74444,87365,101264,47586,92191,103495,117787,63871
ARIZONA,2016,2448919,51340,61001,73245,33026,70432,80861,93952,47101
ARKANSAS,2016,1141480,42336,53123,63933,24202,58850,69867,81500,35008
CALIFORNIA,2016,12807387,63783,72952,89326,41858,91149,101373,118866,63209
COLORADO,2016,2051616,62520,77130,89035,39418,84384,99363,112338,54136
CONNECTICUT,2016,1354713,71755,91274,109657,40537,102616,123803,145850,57865
DELAWARE,2016,348051,61017,73831,87936,37383,80432,93114,108292,51260
FLORIDA,2016,7393262,48900,59139,71059,31149,69936,81708,95407,45799
GEORGIA,2016,3611706,51037,61328,76671,31611,71420,82647,99014,45115
HAWAII,2016,452030,71977,83451,93889,41693,91169,102538,113306,57080
IDAHO,2016,596107,49174,59652,66700,27918,64513,75141,83198,38465
ILLINOIS,2016,4802124,59196,73714,88666,35106,81865,97197,113775,50656
INDIANA,2016,2513828,50433,62748,74526,29856,66480,78680,91330,40226
IOWA,2016,1242641,54570,69419,79468,30838,70708,85136,95909,42056
KANSAS,2016,1115858,53571,68231,78860,30805,71975,86732,98278,41511
KENTUCKY,2016,1718217,44811,56522,68668,25668,61757,73193,85326,37044
LOUISIANA,2016,1731398,45652,58068,76846,26350,65229,77509,95762,39832
MAINE,2016,551109,50826,64294,74059,29166,67011,80057,90195,41718
MARYLAND,2016,2177492,76067,92049,111275,46978,100071,116461,137018,62164
MASSACHUSETTS,2016,2558889,70954,90180,108698,40726,97295,116766,137400,59709
MICHIGAN,2016,3860394,50803,63958,77110,30261,68928,82348,96369,41807
MINNESOTA,2016,2135310,63217,79595,91007,36468,83100,99626,112473,49413
MISSISSIPPI,2016,1098803,40528,50592,66340,22204,56358,66185,81818,33111
MISSOURI,2016,2372362,49593,62285,74004,29452,67210,80299,92849,40834
MONTANA,2016,412653,48380,63214,71539,28320,65401,79987,89345,39119
NEBRASKA,2016,741581,54384,69207,79938,31490,71166,85571,97006,42104
NEVADA,2016,1030701,53094,62528,74341,35259,70855,80671,93512,49568
NEW HAMPSHIRE,2016,521373,68485,83709,94876,38783,87900,103069,115147,53395
NEW JERSEY,2016,3195014,73702,90757,109338,40569,101634,118771,138863,58783
NEW MEXICO,2016,762551,45674,55900,69765,28148,63057,73277,87094,41677
NEW YORK,2016,7266187,60741,74036,92514,37716,89397,104233,125272,59813
NORTH CAROLINA,2016,3815392,48256,59667,73349,29633,67367,79446,93966,41625
NORTH DAKOTA,2016,305163,59114,77277,86919,35176,78828,96309,107344,49357
OHIO,2016,4601449,50674,64433,78321,29947,68341,82269,97066,41193
OKLAHOMA,2016,1461500,48038,59742,70973,28082,65458,77212,89754,39659
OREGON,2016,1545745,53270,65479,76663,32825,72013,84441,96338,47021
PENNSYLVANIA,2016,4961929,54895,69960,82969,31235,75235,90446,104769,44913
