state,year,population,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,violent_crime_rate,murder_rate,rape_rate,robbery_rate,aggravated_assault_rate,property_crime_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate
IDAHO,2011,1584985.0,3184,36.0,435.0,184.0,2529.0,32787,6920.0,24534.0,1333.0,200.88518187869286,2.2713148704877333,27.445054685060114,11.60894267138175,159.55986965176325,2068.600018296703,436.59719177153096,1547.9010842373903,84.1017422877819
ILLINOIS,2011,12869257.0,55247,721.0,3708.0,20254.0,30564.0,346025,77746.0,239510.0,28769.0,429.29440293250804,5.6024990409314235,28.81285221050446,157.38282326633154,237.49622841474064,2688.7721645468732,604.1219007437647,1861.1020045679404,223.548259235168
INDIANA,2011,6516922.0,21626,312.0,1757.0,6978.0,12579.0,206055,50551.0,140688.0,14816.0,331.8437753282915,4.78753620190636,26.96058047035088,107.0750885157134,193.02057014032084,3161.8454233455614,775.6882773800269,2158.8105550442374,227.3465909212969
IOWA,2011,3062309.0,7826,46.0,834.0,825.0,6121.0,71361,17400.0,50025.0,3936.0,255.55879566692974,1.5021345004700701,27.234351595479097,26.940455714952346,199.88185385602827,2330.3004366966234,568.1987023517222,1633.5712692612012,128.5304650836999
KANSAS,2011,2871238.0,10162,110.0,1085.0,1459.0,7508.0,88438,18789.0,62972.0,6677.0,353.9239867959396,3.831100034201275,37.78857761007621,50.81431772636054,261.4899914253016,3080.1347711335666,654.3867140237069,2193.200285033842,232.5477720760174
KENTUCKY,2011,4369356.0,10406,153.0,1463.0,3693.0,5097.0,118358,32553.0,79132.0,6673.0,238.1586668607456,3.5016601988942995,33.48319523517882,84.5204648007624,116.6533466259101,2708.820247194323,745.0297023176871,1811.0678095353182,152.72273534131804
LOUISIANA,2011,4574836.0,25406,513.0,1268.0,5239.0,18386.0,168744,46320.0,113301.0,9123.0,555.3423117243984,11.213516724971123,27.716840559967615,114.51776631992928,401.8941881195304,3688.5256651823147,1012.4953113073343,2476.613369309851,199.41698456512978
MAINE,2011,1328188.0,1636,26.0,393.0,369.0,848.0,33809,7854.0,24877.0,1078.0,123.17533361241028,1.9575542016642222,29.5891846636169,27.782211554388386,63.84638319274079,2545.4980770794496,591.3319499950308,1873.0029182615713,81.16320882284737
MARYLAND,2011,5828289.0,28797,398.0,1194.0,10343.0,16862.0,166699,35784.0,114847.0,16068.0,494.0901180432199,6.82876226625001,20.48628679875003,177.46203045181872,289.31303852640116,2860.1704548281664,613.9709269735938,1970.5096984723991,275.68982938217374
MASSACHUSETTS,2011,6587536.0,28219,185.0,1628.0,6768.0,19638.0,148790,36533.0,101471.0,10786.0,428.3695755135152,2.808333798858936,24.713337429958635,102.73947649014744,298.1084277945502,2258.6593834174114,554.5776144525055,1540.3483184000816,163.73345056482424
MICHIGAN,2011,9876187.0,43983,613.0,4347.0,10393.0,28630.0,257979,71596.0,160887.0,25496.0,445.3439368857637,6.206848857762616,44.01496245463963,105.2329203568138,289.8892052165476,2612.13158479077,724.935645710232,1629.039628350496,258.15631073004187
MINNESOTA,2011,5344861.0,11825,74.0,1664.0,3386.0,6701.0,136264,25724.0,102358.0,8182.0,221.24055237357902,1.3845074736274714,31.13270859616368,63.35057169868403,125.37276460510384,2549.4395457618075,481.28473312963615,1915.0731889940637,153.0816236381077
MISSISSIPPI,2011,2978512.0,8036,239.0,865.0,2492.0,4440.0,90115,30907.0,54283.0,4925.0,269.7991480309631,8.024140913315104,29.04134682015718,83.6659378911349,149.06772240635593,3025.5040100560277,1037.66578748046,1822.4872016631123,165.35102091245562
MISSOURI,2011,6010688.0,26889,366.0,1458.0,6269.0,18796.0,198882,44822.0,138743.0,15317.0,447.35311498450756,6.0891531884536345,24.256790570397268,104.29754464048042,312.7096265851763,3308.805913732338,745.7049841881661,2308.2715323104444,254.82939723372763
MONTANA,2011,998199.0,2670,28.0,357.0,169.0,2116.0,23155,3390.0,18307.0,1458.0,267.4817346040218,2.805051898469143,35.76441170548157,16.930491815760185,211.98177918431094,2319.677739609036,339.61164056465697,1834.0030394740927,146.06305957028607
NEBRASKA,2011,1842641.0,4665,67.0,695.0,997.0,2906.0,50726,8714.0,37909.0,4103.0,253.16922829786162,3.6360853796263086,37.71760207224305,54.10712124608103,157.70841959991122,2752.8965218943895,472.90817907557687,2057.318815764981,222.66952705383198
NEVADA,2011,2723322.0,15309,141.0,912.0,4299.0,9957.0,69731,20214.0,40032.0,9485.0,562.1443222652334,5.177500126683514,33.48851145769762,157.8586740752654,365.61963660558683,2560.5124917288517,742.2552309275217,1469.969397669464,348.2878631318661
NEW HAMPSHIRE,2011,1318194.0,2478,17.0,429.0,474.0,1558.0,30106,5749.0,23383.0,974.0,187.98446966076312,1.2896432543313048,32.54452682988999,35.95828838547285,118.19201119106899,2283.8823420528392,436.1270040676865,1773.8663656487588,73.88897233639358
NEW JERSEY,2011,8821155.0,27203,380.0,1006.0,12209.0,13608.0,189719,43238.0,129066.0,17415.0,308.3836527076103,4.30782590261706,11.404402257980955,138.40591169750448,154.26551284950781,2150.7274274173847,490.16256941409597,1463.1417314399305,197.42312656335818
